Date,Week,Day of Week Num,Day of Week,Day Number,Swim,Swim Notes,Bike Duration,Bike Zone,Bike Notes,Run Duration,Run Zone,Run Notes
4/1/2017,14,5,S,96,,,3:30,2,"at 3:15, insert 10 min Z4",,,
4/2/2017,14,6,S,97,,,,,,1:15,2,or Z1
4/3/2017,15,0,M,98,,,,,,,,
4/4/2017,15,1,T,99,38,,,,,1:00,2,"at 0:10, insert 3 x 6 min Z4 @ 3 min Jog"
4/5/2017,15,2,W,100,,,0:45,2,QC,0:15,2,
4/6/2017,15,3,T,101,39,,1:00,2,"at 0:15, insert 3 x 4 min Z4 @ 2 min Spin, then 3 x 2 min Z4 @ 1 min Spin",,,
4/7/2017,15,4,F,102,40,,,,,1:00,2,"at 0:45, insert 10 min Z4"
4/8/2017,15,5,S,103,,,4:00,2,"at 3:45, insert 10 min Z4",,,
4/9/2017,15,6,S,104,,,,,,1:30,2,or Z1
4/10/2017,16,0,M,105,,,,,,,,
4/11/2017,16,1,T,106,41,,,,,1:00,2,"at 0:10, insert 2 x 7.5 min Z4 @ 3.5 min Jog"
4/12/2017,16,2,W,107,,,0:45,2,QC,0:15,2,
4/13/2017,16,3,T,108,42,,1:00,2,"at 0:15, insert 3 x 5 min Z4, then 3 x 2 min Z4 @ 1 min Spin",,,
4/14/2017,16,4,F,109,43,,,,,1:00,2,"at 0:45, insert 10 min Z4"
4/15/2017,16,5,S,110,,,3:00,2,"at 2:45, insert 10 min Z4",,,
4/16/2017,16,6,S,111,,,,,,1:30,2,or Z1
4/17/2017,17,0,M,112,,,,,,,,
4/18/2017,17,1,T,113,38,,,,,1:00,2,"at 0:10, insert 4 x 3 min Z4 @ 1.5 min Jog, then 4 x 2 min Z4 @ 1 min Jog"
4/19/2017,17,2,W,114,,,0:45,2,QC,0:15,2,
4/20/2017,17,3,T,115,39,,1:00,2,"at 0:10, insert 2 x 7.5 min Z4 @ 3.5 min Spin, then 1 x 5 min Z4 @ 3 min Spin",,,
4/21/2017,17,4,F,116,40,,,,,1:00,2,"at 0:45, insert 10 min Z4"
4/22/2017,17,5,S,117,,,3:30,2,,,,
4/23/2017,17,6,S,118,,,,,,1:15,2,or Z1
4/24/2017,18,0,M,119,,,,,,,,
4/25/2017,18,1,T,120,41,,,,,1:00,2,"at 0:10, insert 5 x 1 min PU @ 1 min Jog"
4/26/2017,18,2,W,121,,,0:45,2,QC,0:15,2,
4/27/2017,18,3,T,122,,0:30 easy,1:00,1,"at 0:15, insert 5 x 1 min PU @ 1 min Spin",,,
4/28/2017,18,4,F,123,,,,,,0:40,1,"at 0:10, insert 5 x 1 min PU @ 1 min Jog"
4/29/2017,18,5,S,124,,,0:15,1,,0:20,1,easy PU
4/30/2017,18,6,S,125,,race,2:00,1,race. optional,,,race
5/1/2017,19,0,M,126,,,,,,,,
5/2/2017,19,1,T,127,42,,,,,1:00,2,or Z1
5/3/2017,19,2,W,128,,,0:45,2,QC,0:15,2,
5/4/2017,19,3,T,129,43,,1:00,2,,,,
5/5/2017,19,4,F,130,38,,,,,1:00,2,
5/6/2017,19,5,S,131,,,4:00,2,,,,
5/7/2017,19,6,S,132,,,,,,1:30,2,or Z1
5/8/2017,20,0,M,133,,,,,,,,
5/9/2017,20,1,T,134,39,,,,,1:00,2,"at 0:10, insert 3 x 4.5 min Z4 @ 2 min Jog, then 2 x 2 min Z4 @ 1 min Jog"
5/10/2017,20,2,W,135,,,0:45,2,QC,0:15,2,
5/11/2017,20,3,T,136,40,,1:00,2,"at 0:10, insert 2 x 5 min Z4 @ 3 min Spin, then 2 x 4 min Z4 @ 2 min Sping",,,
5/12/2017,20,4,F,137,41,,,,,1:00,2,"at 0:45, insert 10 min Z4"
5/13/2017,20,5,S,138,,,4:00,2,"at 3:45, insert 10 min Z4",,,
5/14/2017,20,6,S,139,,,,,,1:30,2,or Z1
5/15/2017,21,0,M,140,,,,,,,,
5/16/2017,21,1,T,141,44,,,,,,,
5/17/2017,21,2,W,142,,,0:45,2,QC,0:45,2,
5/18/2017,21,3,T,143,45,,,,,,,
5/19/2017,21,4,F,144,46,,,,,,,
5/20/2017,21,5,S,145,,,,,,,,
5/21/2017,21,6,S,146,,,,,,,,
5/22/2017,22,0,M,147,,,,,,,,
5/23/2017,22,1,T,148,47,,,,,,,
5/24/2017,22,2,W,149,,0:30 easy,,,,,,
5/25/2017,22,3,T,150,,,,,,,,
5/26/2017,22,4,F,151,,,,,,,,
5/27/2017,22,5,S,152,,,,,,,,
5/28/2017,22,6,S,153,,race,,,,,,
5/29/2017,23,0,M,154,,,,,,,,
5/30/2017,23,1,T,155,48,,,,,,,
5/31/2017,23,2,W,156,,,0:45,2,QC,0:45,2,
6/1/2017,23,3,T,157,49,,,,,,,
6/2/2017,23,4,F,158,44,,,,,,,
6/3/2017,23,5,S,159,,,,,,,,
6/4/2017,23,6,S,160,,,,,,,,
6/5/2017,24,0,M,161,,,,,,,,
6/6/2017,24,1,T,162,45,,,,,,,
6/7/2017,24,2,W,163,,,0:45,2,QC,0:45,2,
6/8/2017,24,3,T,164,46,,,,,,,
6/9/2017,24,4,F,165,47,,,,,,,
6/10/2017,24,5,S,166,,,,,,,,
6/11/2017,24,6,S,167,,,,,,,,
6/12/2017,25,0,M,168,,,,,,,,
6/13/2017,25,1,T,169,48,,,,,,,
6/14/2017,25,2,W,170,,,0:45,2,QC,0:45,2,
6/15/2017,25,3,T,171,49,,,,,,,
6/16/2017,25,4,F,172,44,,,,,,,
6/17/2017,25,5,S,173,,,,,,,,
6/18/2017,25,6,S,174,,,,,,,,
6/19/2017,26,0,M,175,,,,,,,,
6/20/2017,26,1,T,176,45,,,,,,,
6/21/2017,26,2,W,177,,,0:45,2,QC,0:45,2,
6/22/2017,26,3,T,178,46,,,,,,,
6/23/2017,26,4,F,179,47,,,,,,,
6/24/2017,26,5,S,180,,,,,,,,
6/25/2017,26,6,S,181,,,,,,,,
6/26/2017,27,0,M,182,,,,,,,,
6/27/2017,27,1,T,183,48,,,,,,,
6/28/2017,27,2,W,184,,,0:45,2,QC,0:45,2,
6/29/2017,27,3,T,185,49,,,,,,,
6/30/2017,27,4,F,186,44,,,,,,,
7/1/2017,27,5,S,187,,,,,,,,
7/2/2017,27,6,S,188,,,,,,,,
7/3/2017,28,0,M,189,,,,,,,,
7/4/2017,28,1,T,190,45,,,,,,,
7/5/2017,28,2,W,191,,,0:45,2,QC,0:45,2,
7/6/2017,28,3,T,192,46,,,,,,,
7/7/2017,28,4,F,193,47,,,,,,,
7/8/2017,28,5,S,194,,,,,,,,
7/9/2017,28,6,S,195,,,,,,,,
7/10/2017,29,0,M,196,,,,,,,,
7/11/2017,29,1,T,197,48,,,,,0:45,2,"at 0:10, insert 2 x 6 min Z4 @ 3 min Jog"
7/12/2017,29,2,W,198,,,0:45,2,QC,0:15,2,
7/13/2017,29,3,T,199,49,,1:00,2,"at 0:45, insert 5 min Z4",,,
7/14/2017,29,4,F,200,44,,,,,0:45,2,"at 0:30, insert 5 min Z4"
7/15/2017,29,5,S,201,,,2:00,2,QC,0:30,2,
7/16/2017,29,6,S,202,,,,,,1:00,2,or Z1
7/17/2017,30,0,M,203,,,,,,,,
7/18/2017,30,1,T,204,45,,,,,0:45,2,"at 0:10, insert 5 x 1 min PU @ 1 min jog"
7/19/2017,30,2,W,205,,,0:45,2,QC,0:15,2,
7/20/2017,30,3,T,206,,0:30 easy,1:00,1,at 0:15 insert 5 x 1 min PU @ 1 min Spin,,,
7/21/2017,30,4,F,207,,,,,,0:40,1,"at 0:10, insert 5 x 1 min PU @ 1 min Jog"
7/22/2017,30,5,S,208,,,0:15,1,easy,0:20,1,easy
7/23/2017,30,6,S,209,,race,,,race,,,race
